Part,Chapter,Article,Provision
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 141,Law declared by Supreme Court to be binding on all courts.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 142,"Enforcement of decrees and orders of Supreme Court and orders as to discovery, etc."
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 143,Power of President to consult Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 144,Civil and judicial authorities to act in aid of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 144A,[Omitted.]
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 145,"Rules of Court, etc."
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 146,Officers and servants and the expenses of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 147,Interpretation.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 148,Comptroller and Auditor-General of India.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 149,Duties and powers of the Comptroller and Auditor-General.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 150,Form of accounts of the Union and of the States.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 151,Audit reports.
PART 6: THE STATES,CHAPTER-1: GENERAL,Article 152,Definition.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 153,Governors of States.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 154,Executive power of State.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 155,Appointment of Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 156,Term of office of Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 157,Qualifications for appointment as Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 158,Conditions of Governor’s office.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 159,Oath or affirmation by the Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 160,Discharge of the functions of the Governor in certain contingencies.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 161,"Power of Governor to grant pardons, etc., and to suspend, remit or commute sentences in certain cases."
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 162,Extent of executive power of State.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 163,Council of Ministers to aid and advise Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 164,Other provisions as to Ministers.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 165,Advocate-General for the State.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 166,Conduct of business of the Government of a State.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 167,"Duties of Chief Minister as respects the furnishing of information to Governor, etc."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 168,Constitution of Legislatures in States.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 169,Abolition or creation of Legislative Councils in States.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 170,Composition of the Legislative Assemblies.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 171,Composition of the Legislative Councils.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 172,Duration of State Legislatures.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 173,Qualification for membership of the State Legislature.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 174,"Sessions of the State Legislature, prorogation and dissolution."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 175,Right of Governor to address and send messages to the House or Houses.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 176,Special address by the Governor.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 177,Rights of Ministers and Advocate-General as respects the Houses.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 178,The Speaker and Deputy Speaker of the Legislative Assembly.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 179,"Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 180,"Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 181,The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 182,The Chairman and Deputy Chairman of the Legislative Council.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 183,"Vacation and resignation of, and removal from, the offices of Chairman and Deputy Chairman."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 184,"Power of the Deputy Chairman or other person to perform the duties of the office of, or to act as, Chairman."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 185,The Chairman or the Deputy Chairman not to preside while a resolution for his removal from office is under consideration.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 186,Salaries and allowances of the Speaker and Deputy Speaker and the Chairman and Deputy Chairman.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 187,Secretariat of State Legislature.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 188,Oath or affirmation by members.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 189,"Voting in Houses, power of Houses to act notwithstanding vacancies and quorum."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 190,Vacation of seats.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 191,Disqualifications for membership.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 192,Decision on questions as to disqualifications of members.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 193,Penalty for sitting and voting before making oath or affirmation under article 188 or when not qualified or when disqualified.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 194,"Powers, privileges, etc., of the Houses of Legislatures and of the members and committees thereof."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 195,Salaries and allowances of members.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 196,Provisions as to introduction and passing of Bills.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 197,Restriction on powers of Legislative Council as to Bills other than Money Bills.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 198,Special procedure in respect of Money Bills.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 199,Definition of “Money Bills”.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 200,Assent to Bills.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 201,Bills reserved for consideration.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 202,Annual financial statement.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 203,Procedure in Legislature with respect to estimates.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 204,Appropriation Bills.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 205,"Supplementary, additional or excess grants."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 206,"Votes on account, votes of credit and exceptional grants."
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 207,Special provisions as to financial Bills.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 208,Rules of procedure.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 209,Regulation by law of procedure in the Legislature of the State in relation to financial business.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 210,Language to be used in the Legislature.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 211,Restriction on discussion in the Legislature.
PART 6: THE STATES,CHAPTER-3: THE STATE LEGISLATURE,Article 212,Courts not to inquire into proceedings of the Legislature.
PART 6: THE STATES,CHAPTER-4: LEGISLATIVE POWER OF THE GOVERNOR,Article 213,Power of Governor to promulgate Ordinances during recess of Legislature.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 214,High Courts for States.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 215,High Courts to be courts of record.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 216,Constitution of High Courts.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 217,Appointment and conditions of the office of a Judge of a High Court.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 218,Application of certain provisions relating to Supreme Court to High Courts.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 219,Oath or affirmation by Judges of High Courts.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 220,Restriction on practice after being a permanent Judge.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 221,"Salaries, etc., of Judges."
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 222,Transfer of a Judge from one High Court to another.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 223,Appointment of acting Chief Justice.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 224,Appointment of additional and acting Judges.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 224A,Appointment of retired Judges at sittings of High Courts.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 225,Jurisdiction of existing High Courts.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 226,Power of High Courts to issue certain writs.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 226A,[Omitted]
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 227,Power of superintendence over all courts by the High Court.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 228,Transfer of certain cases to High Court.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 228A,[Omitted .]
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 229,Officers and servants and the expenses of High Courts.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 230,Extension of jurisdiction of High Courts to Union territories.
PART 6: THE STATES,CHAPTER-5: THE HIGH COURTS IN THE STATES,Article 231,Establishment of a common High Court for two or more States.
